"Year","Life Expectancy at birth","Median age at death","Modal age at death"
"1841","42.25","47.32","77.16"
"1842","41.92","46.89","76.20"
"1843","42.62","48.28","73.71"
"1844","42.28","47.75","73.27"
"1845","43.22","49.39","73.20"
"1846","41.22","45.53","73.26"
"1847","39.57","42.55","73.50"
"1848","40.97","44.60","74.60"
"1849","38.54","39.91","75.90"
"1850","43.71","50.16","76.21"
"1851","41.93","46.84","75.97"
"1852","41.47","45.73","75.05"
"1853","41.11","45.29","73.98"
"1854","40.44","43.58","73.64"
"1855","41.86","47.18","73.64"
"1856","43.58","49.48","73.88"
"1857","41.86","46.95","74.63"
"1858","40.50","44.21","75.69"
"1859","41.37","45.71","76.24"
"1860","43.13","49.35","76.28"
"1861","42.79","48.80","75.86"
"1862","43.32","49.55","74.64"
"1863","41.55","46.12","73.53"
"1864","40.80","45.12","73.23"
"1865","41.10","45.57","73.21"
"1866","41.40","45.93","73.37"
"1867","43.45","49.99","73.84"
"1868","43.03","49.19","74.90"
"1869","42.74","49.05","75.70"
"1870","42.05","47.89","75.93"
"1871","42.65","48.55","75.52"
"1872","44.27","51.14","74.41"
"1873","44.92","52.96","73.27"
"1874","43.59","50.45","72.87"
"1875","42.99","49.80","72.70"
"1876","44.37","51.48","72.60"
"1877","45.45","53.15","72.49"
"1878","43.63","51.07","72.28"
"1879","45.13","53.24","71.70"
"1880","44.58","52.66","74.79"
"1881","46.65","55.25","74.47"
"1882","45.50","53.83","73.86"
"1883","45.66","53.97","73.54"
"1884","45.20","53.46","73.39"
"1885","46.13","54.95","73.29"
"1886","46.15","55.16","73.20"
"1887","46.60","55.54","73.03"
"1888","47.97","57.19","72.48"
"1889","47.57","56.98","70.25"
"1890","45.95","54.64","69.42"
"1891","46.23","55.14","69.51"
"1892","47.28","56.79","70.40"
"1893","46.34","55.51","71.75"
"1894","49.98","59.97","72.31"
"1895","47.11","57.17","72.50"
"1896","48.74","58.75","72.56"
"1897","48.31","58.49","72.55"
"1898","47.92","58.18","72.50"
"1899","47.03","56.96","72.42"
"1900","47.52","57.32","72.64"
"1901","48.83","58.90","73.77"
"1902","50.27","60.25","74.04"
"1903","51.42","61.54","74.01"
"1904","49.96","60.51","73.97"
"1905","51.74","61.91","74.00"
"1906","51.49","61.70","74.13"
"1907","52.46","62.35","74.33"
"1908","53.00","63.06","74.57"
"1909","53.49","63.29","74.77"
"1910","55.17","65.03","74.87"
"1911","53.06","63.89","74.83"
"1912","56.06","65.88","74.71"
"1913","55.28","65.40","74.61"
"1914","55.13","65.21","74.58"
"1915","54.02","64.33","74.67"
"1916","56.53","66.40","74.93"
"1917","56.89","66.95","75.43"
"1918","49.91","59.25","76.08"
"1919","56.12","66.34","76.70"
"1920","58.69","68.73","77.15"
"1921","60.02","69.55","77.32"
"1922","59.32","68.60","77.29"
"1923","61.06","70.05","77.12"
"1924","60.09","69.34","76.86"
"1925","60.24","69.67","76.63"
"1926","61.56","70.52","76.58"
"1927","60.95","69.79","76.71"
"1928","62.21","70.80","76.95"
"1929","59.61","68.91","77.19"
"1930","62.97","71.42","77.37"
"1931","61.81","70.48","77.48"
"1932","62.37","70.94","77.50"
"1933","62.16","70.72","77.48"
"1934","63.16","71.48","77.43"
"1935","63.97","71.88","77.41"
"1936","63.89","71.74","77.50"
"1937","63.90","71.65","77.70"
"1938","65.39","72.85","77.93"
"1939","65.60","72.74","78.15"
"1940","63.20","71.02","78.36"
"1941","64.19","72.32","78.58"
"1942","66.71","74.11","78.84"
"1943","66.72","73.91","79.19"
"1944","67.58","74.53","79.62"
"1945","67.95","74.73","80.04"
"1946","68.67","74.91","80.25"
"1947","68.53","74.85","80.18"
"1948","70.29","75.95","79.96"
"1949","69.95","75.29","79.72"
